City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,East London,ZA,-33.0153,27.9116,65.08,43,63,5.03,broken clouds
80,Nanortalik,GL,60.1432,-45.2371,42.1,90,78,9.69,broken clouds
81,Erenhot,CN,43.6475,111.9767,83.64,35,1,13.09,clear sky
82,Ampanihy,MG,-24.7,44.75,62.29,79,0,7.09,clear sky
83,Yar-Sale,RU,66.8333,70.8333,53.56,58,11,12.03,few clouds
84,Kodiak,US,57.79,-152.4072,53.11,94,100,6.91,light rain
85,Sitka,US,57.0531,-135.33,62.49,59,100,12.66,overcast clouds
86,Necochea,AR,-38.5473,-58.7368,43.21,69,21,9.19,few clouds
87,Tokur,RU,53.1333,132.9,47.08,98,100,3.13,light rain
88,Provideniya,RU,64.3833,-173.3,48.36,87,75,15.99,broken clouds
89,Inirida,CO,3.8653,-67.9239,74.07,97,73,2.82,broken clouds
90,Upernavik,GL,72.7868,-56.1549,40.23,95,100,19.8,overcast clouds
91,Vaini,TO,-21.2,-175.2,80.76,89,75,14.97,broken clouds
92,Ostrovnoy,RU,68.0531,39.5131,52.56,75,98,15.08,overcast clouds
93,Cherskiy,RU,68.75,161.3,55.33,67,99,9.86,overcast clouds
94,Tezu,IN,27.9167,96.1667,79.61,94,99,1.43,overcast clouds
95,Mehamn,NO,71.0357,27.8492,51.71,87,100,5.75,overcast clouds
96,Thompson,CA,55.7435,-97.8558,55.56,94,75,11.5,broken clouds
97,Ust-Kuyga,RU,70.0167,135.6,66.94,47,1,8.28,clear sky
98,Yulara,AU,-25.2406,130.9889,57.96,62,100,8.75,overcast clouds
99,Bose,IT,45.4612,8.0137,74.79,90,100,6.24,overcast clouds
100,Pontes E Lacerda,BR,-15.2261,-59.3353,60.55,84,100,8.41,light rain
101,Valera,VE,9.3178,-70.6036,72.73,89,84,6.04,broken clouds
102,Japura,ID,-0.3167,102.35,82.87,71,48,3.51,scattered clouds
103,Torbay,CA,47.6666,-52.7314,56.57,95,100,20.71,heavy intensity rain
104,Hopkinton,US,41.4612,-71.7776,81.95,84,100,3.44,overcast clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,88.61,73,0,11.5,clear sky
106,Champerico,GT,14.3,-91.9167,77.18,82,100,7.67,overcast clouds
107,Irtyshskiy,RU,58.3333,68.1333,67.39,75,30,6.76,scattered clouds
108,Mantsala,FI,60.6609,25.2838,53.69,71,97,3.51,overcast clouds
109,Kavieng,PG,-2.5744,150.7967,81.81,75,100,2.98,moderate rain
110,Rosa Zarate,EC,0.3333,-79.4667,71.94,97,97,2.59,moderate rain
111,Caravelas,BR,-17.7125,-39.2481,70.27,82,6,6.13,clear sky
112,Aklavik,CA,68.2191,-135.0107,56.71,37,97,18.1,overcast clouds
113,Kondinskoye,RU,59.6481,67.41,65.35,84,32,8.34,scattered clouds
114,Antofagasta,CL,-23.65,-70.4,56.48,59,5,2.93,clear sky
115,Alofi,NU,-19.0595,-169.9187,78.69,78,75,8.05,broken clouds
116,Innisfail,AU,-17.5333,146.0333,72.36,60,40,10.63,scattered clouds
117,Ilulissat,GL,69.2167,-51.1,39.22,93,100,10.36,overcast clouds
118,Businga,CD,3.3333,20.8833,71.44,93,100,0.54,overcast clouds
