City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mandalgovi,MN,2022-08-07 18:46:06,45.7625,106.2708,62.44,39,21,7.43
68,Taksimo,RU,2022-08-07 18:46:06,56.3444,114.8794,46.67,82,9,4.18
69,Ostrovnoy,RU,2022-08-07 18:46:06,68.0531,39.5131,51.62,73,100,24.14
70,Atambua,ID,2022-08-07 18:46:07,-9.1061,124.8925,69.28,87,19,4.16
71,Monrovia,LR,2022-08-07 18:42:12,6.3005,-10.7969,78.57,76,92,11.01
72,Ruteng,ID,2022-08-07 18:46:07,-8.6136,120.4721,60.58,91,75,2.62
73,Inirida,CO,2022-08-07 18:46:08,3.8653,-67.9239,89.87,54,69,1.21
74,Hithadhoo,MV,2022-08-07 18:46:08,-0.6,73.0833,82.13,70,100,3.13
75,Shenjiamen,CN,2022-08-07 18:46:08,29.9576,122.298,82.18,85,96,19.1
76,Koutiala,ML,2022-08-07 18:46:09,12.3917,-5.4642,85.33,55,47,9.84
77,Hambantota,LK,2022-08-07 18:46:09,6.1241,81.1185,77.34,100,20,9.22
78,Iqaluit,CA,2022-08-07 18:43:52,63.7506,-68.5145,51.53,76,75,4.61
79,Haines Junction,CA,2022-08-07 18:46:10,60.7522,-137.5108,53.55,66,100,2.3
80,Elizabeth City,US,2022-08-07 18:41:29,36.2946,-76.2511,91.42,61,40,11.5
81,Bambous Virieux,MU,2022-08-07 18:46:10,-20.3428,57.7575,68.25,83,40,3.44
82,San Cristobal,VE,2022-08-07 18:46:10,7.7669,-72.225,80.78,47,98,7.34
83,Saint-Philippe,RE,2022-08-07 18:46:11,-21.3585,55.7679,68.22,82,12,5.23
84,Reconquista,AR,2022-08-07 18:46:11,-29.15,-59.65,64.87,54,0,10.31
85,Santa Catarina De Tepehuanes,MX,2022-08-07 18:46:11,25.35,-105.7333,81.95,32,15,12.5
86,Kapaa,US,2022-08-07 18:46:12,22.0752,-159.319,78.78,91,100,8.05
87,Lavrentiya,RU,2022-08-07 18:46:12,65.5833,-171.0,41.43,94,100,6.4
88,Tasiilaq,GL,2022-08-07 18:46:12,65.6145,-37.6368,48.36,92,100,7.49
89,Tuatapere,NZ,2022-08-07 18:46:13,-46.1333,167.6833,34.45,88,32,8.39
90,Cape Town,ZA,2022-08-07 18:43:38,-33.9258,18.4232,59.11,83,20,8.05
91,Mae Sai,TH,2022-08-07 18:46:13,20.4335,99.8762,73.17,99,100,0.83
92,Arraial Do Cabo,BR,2022-08-07 18:46:14,-22.9661,-42.0278,80.56,69,75,11.5
93,Marovoay,MG,2022-08-07 18:47:14,-16.1,46.6333,68.83,56,0,2.26
94,Petropavlovsk-Kamchatskiy,RU,2022-08-07 18:43:02,53.0452,158.6483,52.39,100,100,2.24
95,Tuktoyaktuk,CA,2022-08-07 18:47:15,69.4541,-133.0374,46.4,76,100,9.22
96,Teya,RU,2022-08-07 18:47:15,60.3778,92.6267,52.97,93,18,2.1
97,Kavieng,PG,2022-08-07 18:47:15,-2.5744,150.7967,80.8,79,98,13.38
98,Lompoc,US,2022-08-07 18:47:16,34.6391,-120.4579,79.84,66,0,21.0
99,Airai,TL,2022-08-07 18:47:16,-8.9266,125.4092,57.22,66,13,3.02
100,Salalah,OM,2022-08-07 18:47:17,17.0151,54.0924,77.09,94,100,4.61
101,Orlik,RU,2022-08-07 18:47:17,52.5178,99.825,42.66,78,0,0.58
102,Liverpool,GB,2022-08-07 18:45:50,53.4106,-2.9779,68.29,70,0,11.5
103,Hovd,MN,2022-08-07 18:47:18,48.0056,91.6419,64.04,32,2,1.54
104,Mehamn,NO,2022-08-07 18:47:18,71.0357,27.8492,49.91,87,75,17.27
105,Nefteyugansk,RU,2022-08-07 18:47:19,61.0998,72.6035,60.46,65,100,4.61
106,Lagoa,PT,2022-08-07 18:47:19,39.05,-27.9833,73.62,83,96,16.4
107,Puerto Ayora,EC,2022-08-07 18:42:59,-0.7393,-90.3518,78.76,87,61,5.99
108,Rancho Palos Verdes,US,2022-08-07 18:47:19,33.7445,-118.387,95.41,69,0,6.91
109,Rota,ES,2022-08-07 18:47:20,36.6224,-6.3586,77.09,78,0,13.8
110,Nikolskoye,RU,2022-08-07 18:47:20,59.7035,30.7861,61.92,78,10,2.8
111,Kaka,TM,2022-08-07 18:47:21,37.3482,59.6143,87.33,25,0,3.71
112,Victoria,HK,2022-08-07 18:43:54,22.2855,114.1577,84.96,88,100,11.01
113,Purpe,RU,2022-08-07 18:47:22,64.4803,76.6897,59.2,76,100,10.51
114,Mojo,ET,2022-08-07 18:47:22,8.6,39.1167,61.63,93,100,3.62
115,East London,ZA,2022-08-07 18:47:23,-33.0153,27.9116,63.54,94,100,19.57
116,Pantubig,PH,2022-08-07 18:47:23,14.9681,120.9547,76.95,95,100,4.03
117,Valparaiso,CL,2022-08-07 18:47:24,-33.0393,-71.6273,56.84,90,75,6.91
118,Becerril,CO,2022-08-07 18:47:24,9.7041,-73.2793,88.02,62,100,1.32
119,Saint George,US,2022-08-07 18:43:07,37.1041,-113.5841,97.63,28,0,6.91
120,Yellowknife,CA,2022-08-07 18:42:51,62.456,-114.3525,63.12,67,75,3.44
121,Micheweni,TZ,2022-08-07 18:47:25,-4.9667,39.8333,74.55,77,66,14.97
122,Mount Gambier,AU,2022-08-07 18:47:25,-37.8333,140.7667,37.89,92,6,3.87
123,Constitucion,CL,2022-08-07 18:45:56,-35.3333,-72.4167,53.15,74,35,5.28
124,Lata,PT,2022-08-07 18:47:26,40.1629,-8.3327,73.65,57,0,5.82
125,Sovetskiy,RU,2022-08-07 18:47:26,61.3614,63.5842,69.58,56,15,2.1
126,New Norfolk,AU,2022-08-07 18:47:26,-42.7826,147.0587,37.71,85,32,1.95
127,Puerto Carreno,CO,2022-08-07 18:47:27,6.189,-67.4859,89.58,58,20,6.91
128,Cabedelo,BR,2022-08-07 18:44:49,-6.9811,-34.8339,81.27,72,18,11.56
129,Dongsheng,CN,2022-08-07 18:47:27,39.8161,109.9776,74.57,57,99,8.99
130,Butaritari,KI,2022-08-07 18:47:27,3.0707,172.7902,82.13,74,100,16.17
131,Cabo San Lucas,MX,2022-08-07 18:43:06,22.8909,-109.9124,94.6,72,100,3.0
132,Darnah,LY,2022-08-07 18:47:28,32.767,22.6367,80.56,69,0,16.6
133,Khuzhir,RU,2022-08-07 18:47:28,53.1939,107.3397,52.34,81,87,7.56
134,Thap Than,TH,2022-08-07 18:47:29,15.4606,99.8917,80.71,91,100,4.5
135,Saint-Gaudens,FR,2022-08-07 18:47:30,43.0833,0.6667,82.02,55,13,5.86
136,Ambilobe,MG,2022-08-07 18:47:30,-13.2,49.05,64.98,81,11,3.62
137,Saskylakh,RU,2022-08-07 18:47:31,71.9167,114.0833,46.49,73,94,4.99
138,General Pico,AR,2022-08-07 18:47:31,-35.6566,-63.7568,56.03,53,100,14.27
139,Esperance,AU,2022-08-07 18:47:31,-33.8667,121.9,49.28,84,0,10.69
140,Bongandanga,CD,2022-08-07 18:47:32,1.5,21.05,75.0,78,99,2.84
141,Norrtalje,SE,2022-08-07 18:48:32,59.758,18.705,63.84,84,99,3.89
142,Chokurdakh,RU,2022-08-07 18:48:33,70.6333,147.9167,46.62,53,100,13.71
143,Ribeira Grande,PT,2022-08-07 18:48:33,38.5167,-28.7,73.8,88,75,16.11
144,Letnyaya Stavka,RU,2022-08-07 18:48:33,45.4306,43.4472,74.84,53,38,5.79
145,Khorixas,NA,2022-08-07 18:48:34,-20.3667,14.9667,68.56,36,69,8.23
146,Cherskiy,RU,2022-08-07 18:48:34,68.75,161.3,37.04,73,96,5.73
147,Faanui,PF,2022-08-07 18:48:35,-16.4833,-151.75,76.78,71,85,25.52
148,Venado Tuerto,AR,2022-08-07 18:48:17,-33.7456,-61.9688,59.77,32,96,14.41
149,Puerto Asis,CO,2022-08-07 18:48:35,0.5133,-76.5007,90.41,47,58,2.62
150,Batemans Bay,AU,2022-08-07 18:48:35,-35.7167,150.1833,50.09,89,8,5.48
151,Neiafu,TO,2022-08-07 18:48:36,-18.65,-173.9833,75.88,88,40,8.05
152,Geraldton,AU,2022-08-07 18:48:36,-28.7667,114.6,54.01,94,100,9.22
153,Segezha,RU,2022-08-07 18:48:37,63.7415,34.3222,55.36,76,29,9.26
154,Grand Gaube,MU,2022-08-07 18:48:37,-20.0064,57.6608,68.4,77,33,1.99
155,Mackay,AU,2022-08-07 18:45:09,-21.15,149.2,56.68,70,12,13.15
156,Guatire,VE,2022-08-07 18:48:38,10.4762,-66.5427,90.55,68,80,3.4
157,Okakarara,NA,2022-08-07 18:48:38,-20.5833,17.4333,65.98,19,30,4.25
158,San Lawrenz,MT,2022-08-07 18:48:38,36.0553,14.204,81.86,84,0,1.99
159,Soe,ID,2022-08-07 18:48:39,-9.8607,124.284,61.95,90,10,4.27
160,Kenai,US,2022-08-07 18:48:39,60.5544,-151.2583,58.14,65,0,14.97
161,Mar Del Plata,AR,2022-08-07 18:47:17,-38.0023,-57.5575,51.1,82,75,6.91
162,Derzhavinsk,KZ,2022-08-07 18:48:40,51.1,66.3167,65.25,71,1,8.23
163,Lebu,CL,2022-08-07 18:48:13,-37.6167,-73.65,46.38,86,99,11.56
164,Askiz,RU,2022-08-07 18:48:40,53.1319,90.5264,54.7,70,2,1.14
165,Oranzherei,RU,2022-08-07 18:48:41,45.8476,47.5663,75.13,52,61,7.94
166,Georgetown,MY,2022-08-07 18:47:05,5.4112,100.3354,82.89,89,20,0.0
167,Flinders,AU,2022-08-07 18:48:41,-34.5833,150.8552,49.37,79,9,11.9
168,Port Hardy,CA,2022-08-07 18:48:41,50.6996,-127.4199,60.98,88,75,2.3
169,Thompson,CA,2022-08-07 18:48:42,55.7435,-97.8558,73.56,43,75,18.41
170,Djambala,CG,2022-08-07 18:48:42,-2.5447,14.7533,82.72,36,88,1.66
171,Yerbogachen,RU,2022-08-07 18:48:43,61.2767,108.0108,47.66,98,100,7.16
172,Upernavik,GL,2022-08-07 18:48:43,72.7868,-56.1549,41.94,85,84,9.04
173,Qaanaaq,GL,2022-08-07 18:48:43,77.484,-69.3632,43.66,58,6,2.13
174,Havoysund,NO,2022-08-07 18:48:44,70.9963,24.6622,50.23,84,100,18.54
175,Basoko,CD,2022-08-07 18:48:44,1.2391,23.616,74.44,85,99,2.44
176,Sao Joao Da Barra,BR,2022-08-07 18:48:45,-21.6403,-41.0511,80.69,81,8,16.53
177,Sorong,ID,2022-08-07 18:48:45,-0.8833,131.25,76.98,88,89,6.64
178,Bilibino,RU,2022-08-07 18:48:45,68.0546,166.4372,35.69,69,8,1.52
179,Oranjemund,NA,2022-08-07 18:48:46,-28.55,16.4333,54.97,88,0,0.04
180,San Luis,AR,2022-08-07 18:44:50,-33.295,-66.3356,42.31,90,100,9.46
181,Cap Malheureux,MU,2022-08-07 18:48:46,-19.9842,57.6142,67.46,77,36,1.99
182,Kyren,RU,2022-08-07 18:49:47,51.6828,102.1408,48.58,91,31,2.1
183,Cockburn Town,TC,2022-08-07 18:49:47,21.4612,-71.1419,87.76,66,40,17.27
184,Hualmay,PE,2022-08-07 18:49:48,-11.0964,-77.6139,65.53,73,77,11.59
185,Buritis,BR,2022-08-07 18:49:48,-15.6178,-46.4233,92.07,19,79,1.54
186,Vao,NC,2022-08-07 18:49:48,-22.6667,167.4833,72.77,83,0,12.26
187,West Wendover,US,2022-08-07 18:49:49,40.7391,-114.0733,72.61,64,0,4.61
188,Port Elizabeth,ZA,2022-08-07 18:49:49,-33.918,25.5701,62.1,97,100,14.97
189,Mount Isa,AU,2022-08-07 18:49:49,-20.7333,139.5,56.97,33,0,6.91
190,Batagay,RU,2022-08-07 18:49:50,67.6333,134.6333,60.85,82,100,3.47
191,Panguna,PG,2022-08-07 18:49:50,-6.3164,155.4848,66.67,95,77,1.7
192,Kodiak,US,2022-08-07 18:49:50,57.79,-152.4072,60.31,55,20,4.61
193,Dicabisagan,PH,2022-08-07 18:49:51,17.0818,122.4157,78.71,87,100,10.22
194,Tyup,KG,2022-08-07 18:49:51,42.7276,78.3648,59.65,67,14,5.57
195,Longyearbyen,SJ,2022-08-07 18:49:51,78.2186,15.6401,48.04,87,75,11.5
196,Vaitape,PF,2022-08-07 18:49:52,-16.5167,-151.75,76.75,71,85,25.41
197,Padang,ID,2022-08-07 18:49:52,-0.9492,100.3543,76.75,87,35,3.94
198,Hokitika,NZ,2022-08-07 18:49:52,-42.7167,170.9667,41.11,76,100,13.0
199,Sosva,RU,2022-08-07 18:49:53,59.1766,61.8558,71.11,68,100,2.3
200,Kefamenanu,ID,2022-08-07 18:49:53,-9.4467,124.4781,67.73,91,60,3.04
201,Constantine,DZ,2022-08-07 18:46:40,36.365,6.6147,83.61,42,20,11.5
202,Viking,CA,2022-08-07 18:49:53,53.1001,-111.7684,75.06,55,0,13.04
203,Port Blair,IN,2022-08-07 18:49:54,11.6667,92.75,82.44,83,100,12.66
204,Andenes,NO,2022-08-07 18:49:54,69.3143,16.1194,51.78,82,75,14.97
205,Souillac,MU,2022-08-07 18:49:54,-20.5167,57.5167,68.38,83,40,3.44
206,Dores Do Indaia,BR,2022-08-07 18:49:55,-19.4633,-45.6017,88.99,18,16,3.27
207,Salinopolis,BR,2022-08-07 18:49:55,-0.6136,-47.3561,83.3,71,50,12.39
208,Honningsvag,NO,2022-08-07 18:49:55,70.9821,25.9704,49.75,87,100,17.27
209,Kazerun,IR,2022-08-07 18:49:56,29.6195,51.6541,92.8,47,8,1.57
210,Kutahya,TR,2022-08-07 18:49:56,39.4242,29.9833,67.19,68,82,5.3
211,Sioux Lookout,CA,2022-08-07 18:48:01,50.1001,-91.917,66.27,52,75,6.91
212,Vagur,FO,2022-08-07 18:49:56,61.4732,-6.8119,52.83,96,100,20.22
213,Novki,RU,2022-08-07 18:49:57,56.3608,41.0775,63.1,95,63,4.05
214,Kaitangata,NZ,2022-08-07 18:49:57,-46.2817,169.8464,37.63,72,99,8.5
215,Port-Gentil,GA,2022-08-07 18:49:57,-0.7193,8.7815,73.36,78,40,8.05
216,Sangar,RU,2022-08-07 18:49:58,63.9242,127.4739,46.98,98,21,4.07
217,Sao Filipe,CV,2022-08-07 18:49:58,14.8961,-24.4956,79.83,82,90,2.01
218,Vermilion,US,2022-08-07 18:45:09,40.1667,-87.7506,92.61,68,75,9.22
219,Viedma,AR,2022-08-07 18:49:58,-40.8135,-62.9967,47.52,64,100,8.84
220,Castro,BR,2022-08-07 18:49:59,-24.7911,-50.0119,59.72,94,100,2.35
221,Okhotsk,RU,2022-08-07 18:49:59,59.3833,143.3,54.45,92,100,8.68
222,Isangel,VU,2022-08-07 18:49:59,-19.55,169.2667,73.51,100,75,0.0
223,Zarya,RU,2022-08-07 18:50:00,55.7553,38.0958,70.18,93,100,5.97
224,Hilo,US,2022-08-07 18:48:44,19.7297,-155.09,86.29,67,75,5.01
225,Brownsville,US,2022-08-07 18:50:00,25.9018,-97.4975,96.75,52,40,12.66
226,Oranjestad,AW,2022-08-07 18:48:39,12.524,-70.027,87.75,66,40,16.11
227,Borogontsy,RU,2022-08-07 18:50:01,62.6683,131.1683,47.03,96,5,3.29
228,Newport,GB,2022-08-07 18:50:01,51.5877,-2.9984,76.68,61,0,9.13
229,Matagami,CA,2022-08-07 18:47:34,49.7502,-77.6328,59.11,58,75,9.22
230,Alcala De Henares,ES,2022-08-07 18:48:13,40.4821,-3.36,97.09,17,0,8.05
231,Xacmaz,AZ,2022-08-07 18:51:02,41.4635,48.806,74.16,63,97,7.25
232,Shadegan,IR,2022-08-07 18:51:02,30.6497,48.6647,98.55,35,46,9.15
